query,doc_id,rel
chevrolet,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/3100/1955,1
chevrolet,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/3100/1951,1
chevrolet,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/3100/1950,1
chevrolet,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/a10/1989,1
chevrolet,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/a10/1988,1
onix,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2025,1
onix,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2024,1
onix,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2023,1
onix,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2022,1
onix,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2021,1
chevrolet onix 2020,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2025,0
chevrolet onix 2020,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2024,0
chevrolet onix 2020,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2023,0
chevrolet onix 2020,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2022,0
chevrolet onix 2020,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2021,0
chevrolet onix 1.0 turbo,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2025,1
chevrolet onix 1.0 turbo,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2024,1
chevrolet onix 1.0 turbo,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2023,1
chevrolet onix 1.0 turbo,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2022,1
chevrolet onix 1.0 turbo,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/onix/2021,1
chevrolet s10 diesel 2018,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/3100/1955,0
chevrolet s10 diesel 2018,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/3100/1951,0
chevrolet s10 diesel 2018,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/3100/1950,0
chevrolet s10 diesel 2018,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/a10/1989,0
chevrolet s10 diesel 2018,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/a10/1988,0
chevrolet tracker premier 2021,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/tracker/2025,0
chevrolet tracker premier 2021,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/tracker/2024,0
chevrolet tracker premier 2021,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/tracker/2023,0
chevrolet tracker premier 2021,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/tracker/2022,0
chevrolet tracker premier 2021,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/tracker/2021,1
ford,https://www.webmotors.com.br/tabela-fipe/carros/ford/81a/1938,1
ford,https://www.webmotors.com.br/tabela-fipe/carros/ford/a/1937,1
ford,https://www.webmotors.com.br/tabela-fipe/carros/ford/a/1936,1
ford,https://www.webmotors.com.br/tabela-fipe/carros/ford/a/1935,1
ford,https://www.webmotors.com.br/tabela-fipe/carros/ford/a/1934,1
ford ranger 2021 3.2 diesel,https://www.webmotors.com.br/tabela-fipe/carros/ford/ranger/2026,0
ford ranger 2021 3.2 diesel,https://www.webmotors.com.br/tabela-fipe/carros/ford/ranger/2025,0
ford ranger 2021 3.2 diesel,https://www.webmotors.com.br/tabela-fipe/carros/ford/ranger/2024,0
ford ranger 2021 3.2 diesel,https://www.webmotors.com.br/tabela-fipe/carros/ford/ranger/2023,0
ford ranger 2021 3.2 diesel,https://www.webmotors.com.br/tabela-fipe/carros/ford/ranger/2022,0
ford ka 1.5 2019,https://www.webmotors.com.br/tabela-fipe/carros/ford/81a/1938,0
ford ka 1.5 2019,https://www.webmotors.com.br/tabela-fipe/carros/ford/a/1937,0
ford ka 1.5 2019,https://www.webmotors.com.br/tabela-fipe/carros/ford/a/1936,0
ford ka 1.5 2019,https://www.webmotors.com.br/tabela-fipe/carros/ford/a/1935,0
ford ka 1.5 2019,https://www.webmotors.com.br/tabela-fipe/carros/ford/a/1934,0
fiat toro flex,https://www.webmotors.com.br/tabela-fipe/carros/fiat/toro/2025,1
fiat toro flex,https://www.webmotors.com.br/tabela-fipe/carros/fiat/toro/2024,1
fiat toro flex,https://www.webmotors.com.br/tabela-fipe/carros/fiat/toro/2023,1
fiat toro flex,https://www.webmotors.com.br/tabela-fipe/carros/fiat/toro/2022,1
fiat toro flex,https://www.webmotors.com.br/tabela-fipe/carros/fiat/toro/2021,1
fiat uno 2010,https://www.webmotors.com.br/tabela-fipe/carros/fiat/uno/2021,0
fiat uno 2010,https://www.webmotors.com.br/tabela-fipe/carros/fiat/uno/2020,0
fiat uno 2010,https://www.webmotors.com.br/tabela-fipe/carros/fiat/uno/2019,0
fiat uno 2010,https://www.webmotors.com.br/tabela-fipe/carros/fiat/uno/2018,0
fiat uno 2010,https://www.webmotors.com.br/tabela-fipe/carros/fiat/uno/2017,0
